Global Total for TTD-TCN Project Between '2011-07-01' and '2012-03-31': 12260Total Specimen Counts for each TTD-TCN Institution:
AMNH_IZC	0
AMNH_ENT	765
AMNH_PBI	0
UCR_ENT	2370
UCRC_ENT	0
UDCC_NRI	4739
UNSW_ENT	0
NCSUNCSU	4166
UDCC_TCN	43
UKYL_TCN	0
CUIC_TCN	0
CSUC_TCN	0
CMNH_TCN	0
MEMU_ENT	0
BPBM_TCN	177
CSCA_TCN	0
UMAM_ENT	0
OSACOSAC	0
EMECEMEC	0
KUNHMENT	0
CASC_ENT	0
NCSU_ENT	0
DPI_FSCA	0
OMNH_RIV	0
PNG_ENT	0
ANSP_ENT	0
Specimen Counts by Insect Family for each TTD-TCN Institution:
AMNH_IZC
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
AMNH_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	765
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
AMNH_PBI
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
UCR_ENT
Delphacidae	0
Reduviidae	1408
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	962
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
UCRC_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
UDCC_NRI
Delphacidae	2302
Reduviidae	0
Membracidae	1830
Dictyopharidae	369
Cercopidae	4
Miridae	0
Lygaeidae	0
Achilidae	23
Acanaloniidae	54
Flatidae	65
Derbidae	9
Issidae	81
Fulgoridae	2
Mymaridae	0
UNSW_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
NCSUNCSU
Delphacidae	0
Reduviidae	0
Membracidae	3423
Dictyopharidae	0
Cercopidae	532
Miridae	30
Lygaeidae	181
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
UDCC_TCN
Delphacidae	29
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	2
Flatidae	0
Derbidae	11
Issidae	1
Fulgoridae	0
Mymaridae	0
UKYL_TCN
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
CUIC_TCN
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
CSUC_TCN
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
CMNH_TCN
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
MEMU_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
BPBM_TCN
Delphacidae	0
Reduviidae	3
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	172
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	2
CSCA_TCN
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
UMAM_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
OSACOSAC
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
EMECEMEC
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
KUNHMENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
CASC_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
NCSU_ENT
Delphacidae	0
Reduviidae	0
Membracidae	0
Dictyopharidae	0
Cercopidae	0
Miridae	0
Lygaeidae	0
Achilidae	0
Acanaloniidae	0
Flatidae	0
Derbidae	0
Issidae	0
Fulgoridae	0
Mymaridae	0
DPI_FSCA
